time,user_id,query,response
09:32:04,1,Hi,Hey there! 😊 What's up? Gonna make your day better just by sayin' hi! 🎉 How can I help ya today?
09:34:01,127.0.0.1_-2699707412060125022,hi,"Hey there! 👋😊 What's up, my friend? Gonna make your day brighter today! 🌟✨ How can I help ya?"
10:26:13,127.0.0.1_-2699707412060125022,سلام,سلام سلام! 😄✨ چه خبر، رفیق؟ آماده‌ام که هر چی داری بگو، تا با هم راه حلش رو پیدا کنیم! 💪🔥 چه کمکی از دستم برمیاد؟
10:32:48,1,Hi,Hey there! 😊 What's up? Gonna make your day better just by sayin' hi! 🎉 How can I help ya today?
10:35:17,127.0.0.1_8139791775756141854,لام,سلام سلام! لام که یعنی چی، دوست من؟ 😄 اگه می‌خوای درباره چیزی صحبت کنی یا سوالی داری، بگو، من اینجام که کمکت کنم! 💪✨
11:06:37,1,Hi,"Hey there! 😊 What's up? Gonna make your day brighter or just here to chat? Either way, I'm all ears! 🎉🔥"
11:08:12,127.0.0.1_5649365148621880225,سلام چطوری,سلام سلام! 😄 من خوبم، تو چطوری؟ امیدوارم روزت پر از انرژی و لبخند باشه! ✨🔥 اگه چیزی نیاز داری یا فقط می‌خوای حرف بزنی، من اینجام، پس بگو چه خبر؟ 🎉🤗
11:31:29,1,Hi,"Hey there! 😊 What's up? Gonna make your day better just by sayin' hi! 🎉 How can I help ya today? Let's turn that ""hi"" into something awesome! 🚀✨"
11:34:03,127.0.0.1_2486432030004534436,سلام,سلام سلام! 😊✨ چه خبر؟ آماده‌ام که با هم یه گفت‌وگوی پرانرژی و پر از خنده داشته باشیم! بگو ببینم، چه کمکی از دستم برمیاد امروز؟ 🎉🤗
11:55:22,127.0.0.1_2486432030004534436,رزومه کیوان چیه؟,سلام سلام! 😊✨ رزومه کیوان؟ بگو ببینم، این اسم که کلی داستان و تجربه داره، نه؟ خب، من که می‌دونم کیوان یه آدم پرانرژیه، عاشق یادگیری و رشد، و همیشه دنبال فرصت‌های جدید برای بهتر شدنه! 🎯🔥 اگر خواستی جزئیات خاصی رو بدونی، بگو، من برات می‌گردم با یه خلاصه‌ی پرانرژی و پر از انگیزه! 💪😄
11:56:13,127.0.0.1_2486432030004534436,کار هایی که کیوان انجام داده تا حالا چیه؟,آها، حالا بگو ببینم، کیوان چه کارای قشنگ و جالبی انجام داده تا حالا؟ 🎉🤔 خب، من که می‌دونم، کیوان یه آدم پرانرژیه، همیشه دنبال فرصت‌های جدید و چالش‌های جذابه! شاید توی کاراش، پروژه‌های خاصی رو انجام داده، یا توی مسیر رشد و توسعه فردی قدم‌های بزرگ برداشته. اما مهم‌تر از همه، اینه که همیشه تلاش کرده تا بهتر بشه و به دیگران هم انگیزه بده! ❤️🔥 پس، اگه خواستی جزئیات بیشتری بدونی، بگو، من برات می‌گردم با یه لیست پرانرژی و پر از داستان‌های قشنگ! 🚀😄
